config,impl,T,B,Cin,Cout,H,W,sparsity,K,num_blocks,analytic_x_load,analytic_w_load,analytic_z_io,analytic_v_io,analytic_spike_write,analytic_intermediate_io,analytic_total,handcomp_intermediate_io,formula_match,wall_us_median,parity_max_diff,schedule
SEW-RN18 layer4.0.conv2  (512x4x4),DenseKeep,4,2,512,512,4,4,0.85,4,1,262144,9437184,524288,131072,262144,655360,10616832,655360,True,308.04378911852837,0.0,TimeBlock(K=4) ∘ BatchFold(Conv) ∘ StateCarry(LIF)
SEW-RN18 layer4.0.conv2  (512x4x4),SparseFlow,4,2,512,512,4,4,0.85,1,4,262144,37748736,0,524288,262144,524288,38797312,524288,True,1833.0133007839322,0.0,"TimeBlock(K=1) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
SEW-RN18 layer4.0.conv2  (512x4x4),SparseFlow,4,2,512,512,4,4,0.85,2,2,262144,18874368,0,262144,262144,262144,19660800,262144,True,1645.7890486344695,0.0,"TimeBlock(K=2) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
SEW-RN18 layer4.0.conv2  (512x4x4),SparseFlow,4,2,512,512,4,4,0.85,4,1,262144,9437184,0,131072,262144,131072,10092544,131072,True,1488.2727013900876,0.0,"TimeBlock(K=4) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
SEW-RN18 layer3.0.conv2  (256x8x8),DenseKeep,4,2,256,256,8,8,0.85,4,1,524288,2359296,1048576,262144,524288,1310720,4718592,1310720,True,272.2470974549651,0.0,TimeBlock(K=4) ∘ BatchFold(Conv) ∘ StateCarry(LIF)
SEW-RN18 layer3.0.conv2  (256x8x8),SparseFlow,4,2,256,256,8,8,0.85,1,4,524288,9437184,0,1048576,524288,1048576,11534336,1048576,True,1220.2376080676913,0.0,"TimeBlock(K=1) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
SEW-RN18 layer3.0.conv2  (256x8x8),SparseFlow,4,2,256,256,8,8,0.85,2,2,524288,4718592,0,524288,524288,524288,6291456,524288,True,984.9568922072648,0.0,"TimeBlock(K=2) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
SEW-RN18 layer3.0.conv2  (256x8x8),SparseFlow,4,2,256,256,8,8,0.85,4,1,524288,2359296,0,262144,524288,262144,3670016,262144,True,826.7982909455895,0.0,"TimeBlock(K=4) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
Synthetic 256x8x8  (layer3 regime),DenseKeep,4,2,256,256,8,8,0.85,4,1,524288,2359296,1048576,262144,524288,1310720,4718592,1310720,True,276.666609570384,0.0,TimeBlock(K=4) ∘ BatchFold(Conv) ∘ StateCarry(LIF)
Synthetic 256x8x8  (layer3 regime),SparseFlow,4,2,256,256,8,8,0.85,1,4,524288,9437184,0,1048576,524288,1048576,11534336,1048576,True,1219.6456268429756,0.0,"TimeBlock(K=1) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
Synthetic 256x8x8  (layer3 regime),SparseFlow,4,2,256,256,8,8,0.85,2,2,524288,4718592,0,524288,524288,524288,6291456,524288,True,984.6497187390924,0.0,"TimeBlock(K=2) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
Synthetic 256x8x8  (layer3 regime),SparseFlow,4,2,256,256,8,8,0.85,4,1,524288,2359296,0,262144,524288,262144,3670016,262144,True,824.733548797667,0.0,"TimeBlock(K=4) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
Synthetic 256x8x8  (T=8 fine sweep),DenseKeep,8,2,256,256,8,8,0.85,8,1,1048576,2359296,2097152,262144,1048576,2359296,6815744,2359296,True,301.5373507514596,0.0,TimeBlock(K=8) ∘ BatchFold(Conv) ∘ StateCarry(LIF)
Synthetic 256x8x8  (T=8 fine sweep),SparseFlow,8,2,256,256,8,8,0.85,1,8,1048576,18874368,0,2097152,1048576,2097152,23068672,2097152,True,2416.643910109997,0.0,"TimeBlock(K=1) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
Synthetic 256x8x8  (T=8 fine sweep),SparseFlow,8,2,256,256,8,8,0.85,2,4,1048576,9437184,0,1048576,1048576,1048576,12582912,1048576,True,1938.2402580231428,0.0,"TimeBlock(K=2) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
Synthetic 256x8x8  (T=8 fine sweep),SparseFlow,8,2,256,256,8,8,0.85,4,2,1048576,4718592,0,524288,1048576,524288,7340032,524288,True,1652.76980958879,0.0,"TimeBlock(K=4) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
Synthetic 256x8x8  (T=8 fine sweep),SparseFlow,8,2,256,256,8,8,0.85,8,1,1048576,2359296,0,262144,1048576,262144,4718592,262144,True,1492.7610708400607,0.0,"TimeBlock(K=8) ∘ StreamFuse(Conv, LIF) ∘ StateCarry(LIF)"
